Timestamp,country,selections
5/18/2016 12:44:29,Albnia,MNG CHN JPN PRK KOR RUS IND PAK AFG TKM KAZ IRN UZB TJK KGZ NPL BTN BGD MMR LAO THA VNM KHM MYS IDN PHL BRN TWN LKA
5/18/2016 12:47:08,Bangladesh,IND BGD CHN MMR NPL BTN THA KHM LAO VNM MYS IDN LKA SAU IRQ IRN YEM OMN QAT KWT ARE AFG PAK TKM UZB KGZ TJK KAZ MNG PRK KOR TWN PHL BRN JPN AZE TUR ARM SYR JOR LBN ISR PSE
5/19/2016 15:29:02,Bosnia,RUS MNG CHN PRK KOR JPN KAZ KGZ UZB TKM AFG TJK PAK NPL IND LKA MMR BGD BTN THA LAO VNM PHL TWN MYS IDN KHM AZE GEO IRN TUR ARM SYR IRQ OMN YEM ARE JOR SAU PSE LBN KWT QAT ISR
5/18/2016 0:48:03,China,MNG KAZ CHN PRK KOR JPN TWN PHL MYS IDN BRN PNG THA KHM LAO VNM MMR IND BGD NPL BTN PAK KGZ UZB TJK AFG TKM LKA TLS
5/18/2016 15:16:19,China,CHN MNG JPN PRK KOR IND NPL BTN BGD LKA MMR THA LAO VNM KHM MYS IDN PHL TWN TLS BRN PAK
5/18/2016 15:28:44,China,MNG CHN TWN JPN KOR PRK VNM LAO THA MMR KHM BGD IND NPL BTN LKA MYS IDN PHL TLS PNG NCL VUT SLB
5/18/2016 15:30:52,China,CHN MNG KAZ RUS AZE TUR GEO SYR IRQ JOR ISR LBN SAU YEM ARE QAT OMN IRN AFG TKM UZB KGZ TJK PAK IND NPL MMR BGD BTN THA LAO VNM KHM LKA KOR PRK JPN TWN PHL IDN MYS ARM KWT PSE BRN
5/18/2016 16:03:12,China,MNG KAZ UZB KGZ TJK TKM IRN AZE AFG PAK IND NPL CHN BTN BGD MMR LKA VNM LAO THA KHM MYS IDN PHL TWN PRK KOR JPN
5/18/2016 16:33:53,China,MNG CHN PRK KOR JPN PHL TWN MMR LAO THA VNM KHM MYS IDN IND BGD BTN NPL LKA PAK UZB KGZ TJK KAZ
5/18/2016 9:23:56,Egypt,CHN MNG KAZ KGZ TJK AFG PAK IND NPL BTN BGD MMR THA LAO VNM KHM MYS IDN PHL TWN PRK KOR JPN
5/18/2016 19:05:40,France,CHN MNG KAZ UZB KGZ TJK IND THA KHM VNM MMR BGD NPL BTN LKA LAO TWN KOR PRK JPN TKM
5/18/2016 22:23:39,Guatemala,CHN MNG PRK KOR JPN RUS IDN PNG PHL MYS TWN VUT FJI NCL SLB TLS THA VNM KHM LAO MMR LKA IND BGD NPL BTN KAZ PAK TJK UZB KGZ AFG TKM IRN SAU YEM OMN ARE KWT IRQ SYR JOR AZE GEO ARM TUR
5/18/2016 12:45:44,India,LKA IND PAK AFG TKM UZB KAZ IRN RUS MNG CHN KGZ TJK TUR SAU NPL BGD BTN MMR THA LAO VNM KHM MYS IDN PHL JPN PRK KOR TWN AZE ARM GEO IRQ SYR YEM OMN ARE QAT KWT
5/18/2016 0:30:40,Indonesia,SYR LBN JOR PSE SAU YEM OMN ARE QAT KWT IRQ IRN KAZ UZB TKM AFG PAK IND LKA TJK KGZ CHN MNG JPN PRK KOR NPL BTN MMR BGD THA LAO VNM KHM MYS IDN PHL TWN TLS
